Date,Real Open Price,
07-11-2022,20924.62109,
08-11-2022,20600.67188,
09-11-2022,18543.76172,
10-11-2022,15883.1582,
11-11-2022,17583.25195,
12-11-2022,17036.875,
13-11-2022,16799.72266,
14-11-2022,16352.02832,
15-11-2022,16617.48438,
16-11-2022,16884.3418,
17-11-2022,16670.42578,
18-11-2022,16687.91211,
19-11-2022,16696.2207,
20-11-2022,16712.91992,
21-11-2022,16291.22363,
22-11-2022,15782.30078,
23-11-2022,16195.58887,
24-11-2022,16611.63672,
25-11-2022,16602.26953,
26-11-2022,16521.57617,
27-11-2022,16463.88281,
28-11-2022,16440.22266,
29-11-2022,16217.63965,
30-11-2022,16445.47656,
01-12-2022,17168.00195,
02-12-2022,16968.68359,
03-12-2022,17090.09766,
04-12-2022,16908.16992,
05-12-2022,17128.89453,
06-12-2022,16975.23828,
07-12-2022,17089.50586,
08-12-2022,16847.34961,
09-12-2022,17232.14844,
10-12-2022,17134.2207,
11-12-2022,17129.71094,
12-12-2022,17102.5,
13-12-2022,17206.44141,
14-12-2022,17782.06641,
15-12-2022,17813.64453,
16-12-2022,17364.54688,
17-12-2022,16646.98242,
18-12-2022,16795.60938,
19-12-2022,16759.04102,
20-12-2022,16441.78711,
21-12-2022,16904.52734,
22-12-2022,16818.38086,
23-12-2022,16829.64453,
24-12-2022,16796.97656,
25-12-2022,16847.50586,
26-12-2022,16842.25,
27-12-2022,16919.29102,
28-12-2022,16716.40039,
29-12-2022,16552.32227,
30-12-2022,16641.33008,
31-12-2022,16603.67383,
01-01-2023,16547.91406,
02-01-2023,16625.50977,
03-01-2023,16688.84766,
04-01-2023,16680.20508,
05-01-2023,16863.47266,
,,
